id;id_livraison;prix_livraison;duree;adresse_livraison
1;78148;98385;2023-04-09T17:48:32;lavender extend Account
2;10292;13235;2023-04-09T16:32:38;Executive
3;42939;92423;2023-04-08T21:44:23;purple
4;42013;15010;2023-04-09T04:42:50;1080p
5;61135;58470;2023-04-09T15:03:19;Account contingency
6;86881;60732;2023-04-09T11:16:26;Account driver
7;24669;86136;2023-04-09T18:43:19;input SDR Fresh
8;72791;80864;2023-04-09T03:22:30;Human engineer
9;98988;85051;2023-04-09T03:15:42;disintermediate invoice National
10;69289;24595;2023-04-09T13:09:30;bandwidth
